Hersteller;Artikelnummer;Gruppierung;Lokalisierung;Seriennummer;Artikelname;Vertriebsbeschreibung;Marketing-Status;Gesamt Seiten;Verkaufspreis excl. Ust;MwSt Satz;Gewicht;Hersteller URL;Link Bilddatei;Kategorie / Produktlinie;Anzahl;
	LG;T8.DEUSLLK; -  ; -  ;706HZFH129739; T8 Soundbar Accessary  ; - All-in-One Design - Eleganter Standfuß - Zubehör für die Soundbar SJ8 - kompatibel mit den OLED TVs C7/B7 (65 und 55 Zoll)  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**   ;Reveno; -  ;49,00;19%; 2 ; - ; https://images.cds-limes.com/LG/T8_D01_27092017.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;T8.DEUSLLK; -  ; -  ;706HZCS129795; T8 Soundbar Accessary  ; - All-in-One Design - Eleganter Standfuß - Zubehör für die Soundbar SJ8 - kompatibel mit den OLED TVs C7/B7 (65 und 55 Zoll)  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**   ;Reveno; -  ;49,00;19%; 2 ; - ; https://images.cds-limes.com/LG/T8_D01_27092017.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;T8.DEUSLLK; -  ; -  ;706HZWF129785; T8 Soundbar Accessary  ; - All-in-One Design - Eleganter Standfuß - Zubehör für die Soundbar SJ8 - kompatibel mit den OLED TVs C7/B7 (65 und 55 Zoll)  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**   ;Reveno; -  ;49,00;19%; 2 ; - ; https://images.cds-limes.com/LG/T8_D01_27092017.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;T8.DEUSLLK; -  ; -  ;706HZNX129783; T8 Soundbar Accessary  ; - All-in-One Design - Eleganter Standfuß - Zubehör für die Soundbar SJ8 - kompatibel mit den OLED TVs C7/B7 (65 und 55 Zoll)  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**   ;Reveno; -  ;49,00;19%; 2 ; - ; https://images.cds-limes.com/LG/T8_D01_27092017.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;SOUNDBAR.RACK15; -  ; -  ;LIM0002656; Soundbar Rack ; Soundbar Rack   ;Reveno; -  ;69,00;19%; 100 ; - ; - ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;STB-5500.AEULLHX; -  ; -  ;612KKEB3N428; STB-5500 Set-top Box ; - Pro:Centric® Smart IPTV Platform - Embedded Pro:Idiom® decryption for non-Pro:Idiom TV's - IP Streaming and RF Tuning - Supports Ultra HD/4K (3840 x 2160) and Full HD (up to 1080p) output resolutions - Pro:Centric Application Support for non-Pro:Centric TVs  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**   ;Reveno; -  ;109,00;19%; 1 ; - ; https://images.cds-limes.com/LG/STB-5500.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;ST-491X.SAMPLE; -  ; -  ;ST-491X001; ST-491X Commercial Monitor Stand ; - Abmessungen : 62.0 x 113.7 x 302.0 (W x L x H) - Gewicht : 0.8Kg (0.4kg/Unit) - für folgende Produkte : 32WL30 - ** Vorführ / Demo / Messegerät **  - ** 90 Tage Übernahmegarantie **   ;Reveno; -  ;19,00;19%; 60 ; - ; - ;/Preislistenproduktlinien/IT-Produkte/Info-Display/Zubehör;1;
	LG;ST-432T.AL; -  ; -  ;603TBZZ00022; ST-432T.AL Commcerial Monitor Standfuss ; - für folgende Modelle: 43SE3(K)B 43SM3B 43SM5(K)B 43SL5B  - Farbe: Schwarz - ** Vorführ / Demo / Messegerät ** - ** 90 Tage Übernahmegarantie **   ;Reveno; -  ;41,18;19%; 4 ; - ; https://images.cds-limes.com/LG/lg-commercial-widescreen-monitor-st-320t-zoom02.jpg ;/Preislistenproduktlinien/IT-Produkte/Info-Display/Zubehör;1;
	LG;KT-OPSA.ALX; -  ; -  ;412YJSY2P214; KT-OPSA.ALX Commercial_Monitor Board ; - KT-OPSA - OPS Montageset - Entwickelt für LG 42LS75A-5B - OPS-KOMPATIBILITÄT - Mit dem OPS Kit ist es möglich einen OPS-Player anzuschließen. Sie bleiben also bei der Wahl eines externen Mediaplayers jederzeit flexibel, sofern er mit den OPS Kit kompatibel ist. - ** Vorführ- / Demo- / Messegerät ** - ** 90 Tage Übernahmegarantie **   ;Reveno; -  ;49,58;19%; 5 ; - ; https://images.cds-limes.com/LG/KT-OPSA.jpg ;/Preislistenproduktlinien/IT-Produkte/Info-Display/Zubehör;1;
	LG;CBV42-B.AEU; -  ; -  ;306NDFV3C203; CBV42-B Zero Client Box ; - Zero Client Box zur Desktop-Virtualisierung  - 6x USB 2.0-Anschlüssen - VMware View  - 512 MB Arbeitsspeicher - Farbdarstellung 16,7 Mio. - Maximale Auflösung 1.920 x 1.200 - Eingangsbuchsee: 15 Pin D-Sub, 2 x USB 2.0 für Tastatur und Maus, 4 x USB, Mikrofoneingang - Weitere Anschlüsse: Netzwerkanschluss RJ45 - ** Vorführ / Demo / Messegerät ** - ** 90 Tage Übernahmegarantie **   ;Reveno; -  ;79,00;19%; 1 ; - ; https://images.cds-limes.com/LG/CBV42-B.jpg ;/Preislistenproduktlinien/IT-Produkte/Info-Display/Zubehör;1;
	LG;CBV42-B.AEU; -  ; -  ;306NDJX3C204; CBV42-B Zero Client Box ; - Zero Client Box zur Desktop-Virtualisierung  - 6x USB 2.0-Anschlüssen - VMware View  - 512 MB Arbeitsspeicher - Farbdarstellung 16,7 Mio. - Maximale Auflösung 1.920 x 1.200 - Eingangsbuchsee: 15 Pin D-Sub, 2 x USB 2.0 für Tastatur und Maus, 4 x USB, Mikrofoneingang - Weitere Anschlüsse: Netzwerkanschluss RJ45 - ** Vorführ / Demo / Messegerät ** - ** 90 Tage Übernahmegarantie **   ;Reveno; -  ;79,00;19%; 1 ; - ; https://images.cds-limes.com/LG/CBV42-B.jpg ;/Preislistenproduktlinien/IT-Produkte/Info-Display/Zubehör;1;
	LG;STB-3000.AEU; -  ; -  ;502KKZQ86621; STB-3000 Set-top Box ; - Supports HTML5, Java, Flash - Web Browser, Embedded Smart Apps - Embedded Pro:Idiom® decryption - Output Resolution: 720p/1080p/1366*768 - ** Vorführ / Demo / Messegerät **  - ** 90 Tage Übernahmegarantie **   ;Reveno; -  ;100,00;19%; 1 ; - ; https://images.cds-limes.com/LG/PHTO_STB-3000_front.jpg ;/Preislistenproduktlinien/IT-Produkte/Info-Display/Zubehör;1;
	LG;KT-T650.AL; -  ; -  ;506NOZZ00074; KT-T650 Overlay für 65LS33A Commercial Displays ; - 65" (1.428 x 803) - Windows 7, Windows 8 / Mac OS X (10.7 or later) / Android / Linux (Kernel 3.9 or later) - IR(Infrared Rays) Spread - USB EIngang - 58.5" x 33.8" x 0.9" (Max 2.4") - ** Vorführ / Demo / Messegerät ** - ** 90 Tage Übernahmegarantie **   ;Reveno; -  ;209,24;19%; 19 ; - ; https://images.cds-limes.com/LG/KT-T650.jpg ;/Preislistenproduktlinien/IT-Produkte/Info-Display/Zubehör;1;
	LG;20074289; -  ; -  ;LG1815284505330; M Public Floorstand - mobile Stele inkl. Ablage ; - Mobiler LCD-Standfuß / Trolley für Einzeldisplay - Für Displays von 32-65" / 81-165 cm - Befestigungsbereich VESA max. 700x400 - Höhe min/max: 1200-1500 mm - Höhe über Raststufen an Säulen verstellbar (Feder-Bolzen) - Rollen inkl. feststellbarer Bremse - Display montierbar in Portrait- oder Landscape Format (bei Portrait abhängig von der Displaygröße) - Extrem simpler Aufbau - Traglast max.: 50 kg - Eigengewicht: 16,5 kg - inkl. komplettem Befestigungsmaterial - Farbe: Schwarz   ;Reveno; -  ;219,00;19%; 17 ; - ; - ;/Preislistenproduktlinien/IT-Produkte/Info-Display/Zubehör;1;
	LG;20074289; -  ; -  ;LG1815284505331; M Public Floorstand - mobile Stele inkl. Ablage ; - Mobiler LCD-Standfuß / Trolley für Einzeldisplay - Für Displays von 32-65" / 81-165 cm - Befestigungsbereich VESA max. 700x400 - Höhe min/max: 1200-1500 mm - Höhe über Raststufen an Säulen verstellbar (Feder-Bolzen) - Rollen inkl. feststellbarer Bremse - Display montierbar in Portrait- oder Landscape Format (bei Portrait abhängig von der Displaygröße) - Extrem simpler Aufbau - Traglast max.: 50 kg - Eigengewicht: 16,5 kg - inkl. komplettem Befestigungsmaterial - Farbe: Schwarz   ;Reveno; -  ;219,00;19%; 17 ; - ; - ;/Preislistenproduktlinien/IT-Produkte/Info-Display/Zubehör;1;
	LG;20074289; -  ; -  ;LG1815284505332; M Public Floorstand - mobile Stele inkl. Ablage ; - Mobiler LCD-Standfuß / Trolley für Einzeldisplay - Für Displays von 32-65" / 81-165 cm - Befestigungsbereich VESA max. 700x400 - Höhe min/max: 1200-1500 mm - Höhe über Raststufen an Säulen verstellbar (Feder-Bolzen) - Rollen inkl. feststellbarer Bremse - Display montierbar in Portrait- oder Landscape Format (bei Portrait abhängig von der Displaygröße) - Extrem simpler Aufbau - Traglast max.: 50 kg - Eigengewicht: 16,5 kg - inkl. komplettem Befestigungsmaterial - Farbe: Schwarz   ;Reveno; -  ;219,00;19%; 17 ; - ; - ;/Preislistenproduktlinien/IT-Produkte/Info-Display/Zubehör;1;
